,name,ykiho,top5
0,명안과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ4MiQyNjEwMDIjODEjJDEjJDIjJDgz,"['녹내장', '망막(맥락막·유리체) 질환', '백내장', '안구건조증', '알레르기질환']"
1,문기숙산부인과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjE0ODEjNjEjJDEjJDAjJDgz,"['다낭성 난소증후군', '방광염', '성매개감염병', '신경인성 방광', '질염']"
2,박의현구심내과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5MiQyNjEyMjIjNjEjJDEjJDAjJDgz,"['고지혈증', '고혈압', '당뇨병', '생활습관병_심장병', '허혈성심질환_협심증']"
3,용인우리내과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQ3IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,"['고혈압', '관절병증', '당뇨병', '비염', '위식도 역류질환']"
4,그레이스오앤영성형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ5OSQzNjE4MzIjNjEjJDEjJDQjJDgz,"['비염', '생활습관병_유방암', '알레르기질환', '영양결핍', '호흡계통의 질환']"
5,전이비인후과의원,JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQyIyQzIyQwMCQyNjEyMjIjNTEjJDEjJDYjJDgz,"['감기', '위식도 역류질환', '이명', '중이염', '호흡계통의 질환']"
6,맑은유영상의학과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQyNjE0ODEjNjEjJDEjJDQjJDgz,"['갑상선기능저하증', '갑상선기능항진증', '갑상선암', '생활습관병_유방암', '지방간']"
7,라임의원,JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQ3MiQyNjE0ODEjNzEjJDEjJDgjJDgz,"['알레르기질환', '전립선증식증', '탈모', '티눈', '화상']"
8,황인태영상의학과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,"['골절', '불임', '신우신염', '척추질환', '호흡계통의 질환']"
9,미모아피부과의원,JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ5OSQ0NjE0ODEjODEjJDEjJDYjJDgz,"['대상포진', '알레르기질환', '탈모', '티눈', '화상']"
10,능곡예인의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQxMyQyNjEwMDIjNjEjJDEjJDgjJDgz,"['고혈압', '당뇨병', '비염', '알레르기질환', '호흡계통의 질환']"
11,위례밝은아이소아청소년과의원,JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ5MiQzNjEwMDIjNjEjJDEjJDgjJDgz,"['감기', '알레르기질환', '장염', '중이염', '호흡계통의 질환']"
12,파티마이비인후과의원,JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNTEjJDEjJDIjJDgz,"['감기', '난청', '비염', '중이염', '호흡계통의 질환']"
13,서울희내과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQwMyQ0NjEwMDIjNjEjJDEjJDAjJDgz,"['고혈압', '근막통증증후군', '당뇨병', '비염', '호흡계통의 질환']"
